StartDate,EndDate,Progress,Duration,Finished,RecordedDate,CQ1,CQ2,CQ3,EQ1,EQ2,BQ1,BQ2,BQ3,BQ4,BQ5,BQ6,BQ6_11_TEXT,BQ7,BQ7_7_TEXT,FQ1,FQ1_12_TEXT,FQ2,FQ2_12_TEXT,FQ3,FQ3_16_TEXT,BQ1_CLEAN,PQ3,ID,PID
5/1/23 21:09,5/1/23 21:13,100,254,TRUE,5/1/23 21:13,Yes,Yes,Yes,Yes,Yes,Around 7 (since right after the 1.0 release),Yes,Yes,Yes,Yes,"Box,Rc,UnsafeCell,Cell,RefCell,Arc,MaybeUninit,ManuallyDrop,LazyCell,OnceCell",NA,"Clippy,Miri,AddressSanitizer (ASAN),ThreadSanitizer (TSAN)",NA,"C,C++,Swift,Java,C#",NA,"C,C++,JavaScript/TypeScript,Python,Swift,Java,C#",NA,"Written manually,bindgen,wasm-bindgen,windows-bindgen,cxx,autocxx,Other",uniffi,7,"Rust Team,Open Source,Industry",28,P14
5/1/23 23:00,5/1/23 23:06,100,336,TRUE,5/1/23 23:06,Yes,Yes,Yes,Yes,Yes,3 years +,Yes,Yes,Yes,Yes,"Box,Arc,MaybeUninit,ManuallyDrop,Other",String/Vec/slice,"Clippy,Miri,AddressSanitizer (ASAN),ThreadSanitizer (TSAN),UndefinedBehaviorSanitizer (UBSAN),MemorySanitizer (MSAN)",NA,"C,C++",NA,"C,C++",NA,"bindgen,cxx",NA,3,"Industry,Open Source",27,NA
5/2/23 1:35,5/2/23 1:40,100,315,TRUE,5/2/23 1:40,Yes,Yes,Yes,Yes,Yes,10,Yes,Yes,Yes,Yes,"Box,UnsafeCell,Cell,ManuallyDrop",NA,"Miri,AddressSanitizer (ASAN),Other",libFuzzer based fuzzing,"C,OCaml",NA,"C,C++,JavaScript/TypeScript,Go,Python,C#",NA,"Written manually,wasm-bindgen,ocaml-interop",NA,10,Industry,26,P13
5/2/23 2:24,5/2/23 2:28,100,193,TRUE,5/2/23 2:28,Yes,Yes,Yes,Yes,Yes,2,Yes,No,Yes,Yes,Cell,NA,Miri,NA,Java,NA,NA,NA,wasm-bindgen,NA,2,Other,NA,NA
5/2/23 4:25,5/2/23 4:28,100,183,TRUE,5/2/23 4:28,Yes,Yes,Yes,Yes,Yes,4,Yes,Yes,Yes,Yes,"Box,Rc,UnsafeCell,Cell,RefCell,Arc,MaybeUninit,ManuallyDrop,LazyCell,OnceCell",NA,Miri,NA,"C,C++",NA,"C,Python",NA,"Written manually,PyO3",NA,4,Rust Team,25,NA
5/2/23 10:44,5/2/23 10:53,100,541,TRUE,5/2/23 10:53,Yes,Yes,Yes,Yes,Yes,3 years,Yes,No,No,Yes,"RefCell,OnceCell",NA,"Clippy,Other","lldb's ""memory read"" command, etc",C,NA,NA,NA,"Written manually,bindgen",NA,3,Industry,38,NA
5/2/23 10:58,5/2/23 11:02,100,220,TRUE,5/2/23 11:02,Yes,Yes,Yes,Yes,Yes,3+,Yes,Yes,No,Yes,"Box,UnsafeCell,Arc",NA,Clippy,NA,"C,C++,Python",NA,"C,C++",NA,"Written manually,bindgen,cbindgen,PyO3",NA,3,Industry,37,P18
5/2/23 12:01,5/2/23 12:04,100,159,TRUE,5/2/23 12:04,Yes,Yes,Yes,Yes,Yes,2,Yes,Yes,Yes,Yes,"Box,Arc",NA,"Clippy,Miri",NA,C,NA,Python,NA,"Written manually,bindgen,PyO3",NA,2,Industry,36,NA
5/2/23 12:23,5/2/23 12:37,100,879,TRUE,5/2/23 12:37,Yes,Yes,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/2/23 14:54,5/2/23 14:54,100,20,TRUE,5/2/23 14:54,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/2/23 14:55,5/2/23 14:56,100,17,TRUE,5/2/23 14:56,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/2/23 15:32,5/2/23 15:33,100,14,TRUE,5/2/23 15:33,Yes,Yes,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/2/23 17:39,5/2/23 17:40,100,40,TRUE,5/2/23 17:40,Yes,Yes,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/2/23 17:55,5/2/23 17:57,100,156,TRUE,5/2/23 17:57,Yes,Yes,Yes,Yes,Yes,4,Yes,No,Yes,No,"Box,MaybeUninit",NA,"Clippy,Miri",NA,"C,JavaScript/TypeScript,Python",NA,NA,NA,"Written manually,bindgen,cbindgen,wasm-bindgen",NA,4,Academia,35,P17
