Timestamp,Author,Which item is this?,Tools,Types,Interoperation with:,Domain,Why unsafe?,Did they use any of these unsafe operations?,Did they describe an unsafe data structure?,Did they expose an unsafe API?,Did they document pre and postconditions or invariants for safety of unsafe code?,Found a bug?,Issues with Miri,Challenges with bug-finding,Binding generation preferences,"Shifting ground - Did they express uncertainty about Rust's semantics or describe how they are either changing or unclear?","Did they speak about a stigma against unsafe or express shame or negative feelings about unsafe code?"
8/3/2023 13:10:01,author1,4,,,,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A
8/3/2023 13:11:08,author1,5,,,,N/A,,,N/A,N/A,N/A,Incorrect Type Casting,,N/A,N/A,N/A,N/A
8/3/2023 13:12:06,author1,6,,,,N/A,,Instrinsics,N/A,N/A,N/A,Mismatched Bindings,,N/A,N/A,N/A,N/A
8/3/2023 13:12:33,author1,7,,,,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A
8/3/2023 13:13:08,author1,8,"Clippy, Miri",,,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A
8/3/2023 13:13:45,author1,9,,,,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A
8/3/2023 13:14:36,author1,10,,,C,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A
8/3/2023 13:15:30,author1,11,,,"C, C++, Java, Python, WASM / JavaScript / TypeScript, Ruby",N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A
8/3/2023 13:16:08,author1,12,,,,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A
8/3/2023 13:18:12,author1,13,"DHAT, rust-analyzer",,,N/A,,Replaced Rust's default allocator with a custom allocator,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A
8/3/2023 13:19:03,author1,14,,Rc/Arc<T>,,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A
8/3/2023 13:19:41,author1,15,"ASAN, MSAN",,,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A
8/3/2023 13:20:15,author1,16,,,,Embedded Systems,,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A
8/3/2023 13:20:58,author1,17,,,,N/A,"Unsafe is more ergonomic easier to use, To increase performance",,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A
8/3/2023 13:21:48,author1,18,,ManuallyDrop<T>,,N/A,"Unsafe is more ergonomic easier to use",,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A
8/3/2023 13:22:28,author1,19,,,,Operating Systems,,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A
8/3/2023 13:22:59,author1,20,,,,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A
